Status usu?o;Data-base in?;Ordem;Nota;Tipo de ordem;Status sistema;Loc.instala?;TEXTO;Denomina?;Tipo ativid.PM;
MAOB;05/01/2019;21902354;11686398;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;DEFEITO NO DISPARADOR APENAS ESPULSANDO;INSPETOR TOPTRONIC - K719610;120;LINHA 02 - VIDRO
MAOB;05/01/2019;21902355;11686399;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-04;ESTEIRA DESCARRILHADA;TRANSPORTE MAGAZINE CXS - ECX;120;LINHA 02 - VIDRO
MAOB;04/01/2019;21902356;11686520;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-21;VLVULA DA LINHA DE RETORNO VAZANDO;LIMPEZA/CIP;110;LINHA 03 - LATA
MAOB;02/01/2019;21902357;11686523;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-23-01;SETUP DE 350ML PARA 269ML;RECRAVADORA DE LATAS;110;LINHA 01 - LATA
MAOB;02/01/2019;21902358;11686524;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-01-01;LATAS TOMBANDO NA PORTINHOLA TRASEIRA;DESPALETIZADORA LATAS;115;LINHA 01 - LATA
MAOB;03/01/2019;21902465;11686333;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-29-02;LATAS ENCRAVADAS NO TWISTER.;TRANSPORTE RINSER - ECH;115;LINHA 03 - LATA
MAOB;02/01/2019;21902473;11686384;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-11-01;DESARME ACIONAMENTO DO SOPRADOR;PASTEURIZADOR;115;LINHA 04 - VIDRO
MAOB;02/01/2019;21902474;11686385;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01;FALHA NA ENTRADA DE CAIXA VIA 2.;PALETIZADORA - KR63754;120;LINHA 02 - VIDRO
MAOB;02/01/2019;21902475;11686386;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12;SETUP PARA 473ML AJUSTE CHECKMATS;SELAGEM;110;LINHA 03 - LATA
MAOB;02/01/2019;21902476;11686387;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-36-01;FALHA NO DATADOR, VISCOSIDADE BAIXA.;DATADOR - ROTULADORA 01;115;LINHA 02 - VIDRO
MAOB;02/01/2019;21902477;11686388;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-05-02;EXCESSO DE EXPULS?S DE LATAS CAN 02;CANTRONIC 02 - K709326;115;LINHA 03 - LATA
MAOB;02/01/2019;21902478;11686389;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-02-01;ENTRANDO UMA CAIXA A MAIS NO TRANSPORTE.;DESENCAIXOTADORA - KR66253;120;LINHA 02 - VIDRO
MAOB;02/01/2019;21902479;11686480;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-27-01;DESARME TRANSP. TBP 2112 L 3;TRANSPORTE DE PALETES;115;LINHA 04 - VIDRO
MAOB;03/01/2019;21902494;11686363;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-43-01-09-04;PURGADOR DE CONDESADO 2 EM FALHA;COMPRESSOR DE CO2 04;120;UTILIDADES
MAOB;03/01/2019;21902537;11686465;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-17-01;FALHA NO SENSOR DE PASSAGEM DE PALETE.;ENVOLVEDORA;120;LINHA 02 - VIDRO
MAOB;03/01/2019;21902539;11686467;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-06-02;EXPULSANDO GARRAFAS BOAS NO TAPTONE.;CHECKMAT ROTULADORA I - K731V41;115;LINHA 02 - VIDRO
MAOB;03/01/2019;21902576;11686503;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-07-02;EXPULSÏ DE CAIXAS COMPLETAS;CHECKMAT CAIXA CHEIA - K708A14;120;LINHA 02 - VIDRO
MAOB;03/01/2019;21902580;11686482;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-18-01;FALHA NO SENSOR DE RECONHECIMENTO CARTÏ;EMPACOTADORA - KR96560;120;LINHA 02 - VIDRO
MAOB;04/01/2019;21902671;11686512;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-01;TRANSPORTE DESCARRILHANDO A ESTEIRA;TRANSPORTE DPL-DCX;115;LINHA 02 - VIDRO
MAOB;04/01/2019;21902672;11686513;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-05;VIRANDO CAIXA NO FINAL DA SAIDA DOS ROLO;TRANSPORTE ECX-PL;;LINHA 02 - VIDRO
MAOB;04/01/2019;21902681;11686490;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-18-01;APRESENTANDO FALHA DE FALTA DE CARTÏ.;EMPACOTADORA - KR96560;120;LINHA 02 - VIDRO
MAOB;04/01/2019;21902685;11686497;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-02-01-06-01;TEMPERATURA ELEVADA COMPRESSOR DE AR CAI;TINA FILTRO 01;120;PROCESSO
MAOB;04/01/2019;21902714;11686669;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-22-01;IHM NÏ RESPONDE AOS COMANDOS;ENVASAMENTO DE BARRIS LINHA 01;120;ENVASE CHOP
MAOB;15/04/2019;21902753;11686732;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-28-01;ESTEIRA DANIFICADA DO TRECHO G2307 E ENG;TRANSPORTE DPL-DCX;110;LINHA 02 - VIDRO
MAOB;03/01/2019;21902759;11686801;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-27-02;DESARME TRANSPORTE 2112;TRANSPORTE DE PALETES;120;LINHA 03 - LATA
MAOB;04/01/2019;21902826;11686617;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-00-00-01-02-01;PENEIRA DESREGULADA CM 02;MQUINAS DE PR?LIMPEZA;120;PROCESSO
MAOB;04/01/2019;21902876;11686721;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-20-01;FALHA SISTEMA DE CENTRAGEM B/LUZ 5411;PALETIZADORA - KR63-G58;110;LINHA 04 - VIDRO
MAOB;04/01/2019;21902896;11686646;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-05-02;LATAS PERDENDO CENTRAGEM NO DESLOCAMENTO;CANTRONIC 02 - K709326;115;LINHA 03 - LATA
MAOB;04/01/2019;21902897;11686700;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-27-02;SOBRECARGA NO TRANSPORTADOR P21-12.;TRANSPORTE DE PALETES;120;LINHA 03 - LATA
MAOB;04/01/2019;21902898;11686701;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-19-01;Bucha com desgastes;ENCAIXOTADORA - KR623-331;110;LINHA 04 - VIDRO
DISM PROG;07/01/2019;21902913;11686680;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-21-01-18-01;BUCHAS ESFERICAS DANIFICADAS;EMPACOTADORA I;110;LINHA 01 - LATA
MAOB;04/01/2019;21902920;11686683;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-03-01-03-07;FEITA A TROCA DO SENSOR NA YST 07;TANCAGEM FERMENTA?O - YST07;120;PROCESSO
MAOB;04/01/2019;21902922;11686687;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-02;ABRINDO ESPA? ENTRE AS LATAS: VIMOS QUE;TRANSPORTE RINSER - ECH;115;LINHA 01 - LATA
DISM PROG;04/01/2019;21902923;11686688;ZM01;ENCE CONF CAPC IMPA MOME MatC NOLQ;2015-00-02-01-06-02-01;TUBULU?O COM OXIDA?O;CAIXA DE BAGA? 02;110;PROCESSO
MAOB;04/01/2019;21902987;11686728;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-06-04;FALHA NO Ctrl E INSPE?O/ IDENTIDADE;CHECKMAT TAXOMATIC III;120;LINHA 01 - LATA
MAOB;04/01/2019;21902989;11686751;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-05-02;Cabe?e da c?ra balan?do;CANTRONIC 02 - K709326;115;LINHA 03 - LATA
MAOB;04/01/2019;21902990;11686752;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-09-01;PUSH CAUSANDO CRASH'S NA EXPULSÏ;ENCHEDORA DE LATAS - K232-139;115;LINHA 03 - LATA
MAOB;04/01/2019;21902999;11686794;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-43-01-09-04;FALHA NO COMPRESSOR SIAD;COMPRESSOR DE CO2 04;115;UTILIDADES
MAOB;05/01/2019;21903047;11686705;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-17-01;FAlha no envolvimento do palete;ENVOLVEDORA;110;LINHA 02 - VIDRO
MAOB;04/01/2019;21903053;11686876;ZM01;ENCE CONF CAPC MATF NOLQ;2015-40-41-01-14-01;ICAD DO SEPARADOR LIQUIDO 01 COM FALHA;SEPARACAO GERACAO DE FRIO 01;120;UTILIDADES
DISM PROG;05/01/2019;21903056;11686933;ZM01;ENCE CONF CAPC DNAT IMPA MOME NOLQ;2015-20-21-01-18-02;FALHA NA BARREIRA DE LUZ B331;EMPACOTADORA II;115;LINHA 01 - LATA
MAOB;05/01/2019;21903059;11686936;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01;ESCOVA DA ESTEIRA DE ROTULOS FOLGADA;LAVADORA DE GARRAFAS - K682-521;120;LINHA 04 - VIDRO
MAOB;03/01/2019;21903103;11686777;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-19-01;ALINHADOR DE CAIXAS DESAJUSTADO.;ENCAIXOTADORA - KR623-331;115;LINHA 04 - VIDRO
MAOB;03/01/2019;21903107;11686831;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-12-02-02;ESTEIRA PATINANDO;TRANSPORTE DE ENTRADA;120;LINHA 04 - VIDRO
MAOB;03/01/2019;21903108;11686832;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-06-05;CORREIA TRANSPORTADOARA DANIFICADA.;INSPETOR LINATRONIC - K774-A33;110;LINHA 04 - VIDRO
MAOB;05/01/2019;21903116;11686893;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01;REDUTOR COM VAZAMENTO DE OLEO.;LAVADORA DE GARRAFAS - K682-521;120;LINHA 04 - VIDRO
MAOB;04/01/2019;21903118;11686895;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-05-01;FALHA DE INSPE?O CANTRONIC 01 L3;CANTRONIC 01 - K709325;115;LINHA 03 - LATA
MAOB;04/01/2019;21903119;11686896;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-11-01;DESARME ACIONAMENTO SOPRADOR PZ L4;PASTEURIZADOR;115;LINHA 04 - VIDRO
MAOB;05/01/2019;21903152;11686869;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-02;FALHA NO EMPURRADOR DE CAMADA;PALETIZADORA BICADAS 300 ML - KR63756;120;LINHA 02 - VIDRO
MAOB;05/01/2019;21903153;11686900;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;FALHA NO ELEVADOR COLISÏ DO ELEVADOR NO;PALETIZADOR II;115;LINHA 01 - LATA
MAOB;03/01/2019;21903161;11686796;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-17-01;cilindro faltando parafuso d articula?;ENVOLVEDORA I;115;LINHA 01 - LATA
MAOB;03/01/2019;21903163;11686840;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-02;agregado 01 descentralizado.;TAXOMATIC II - K084161;115;LINHA 03 - LATA
MAOB;03/01/2019;21903165;11686844;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-18-01;FALHA SENSOR DE PRESEN? DE CX ENT VARIO;EMPACOTADORA - KR96560;110;LINHA 02 - VIDRO
MAOB;03/01/2019;21903166;11686845;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-04;DESARME DO ACIONAMENTO G2703-T101;TRANSPORTE MAGAZINE CXS - ECX;115;LINHA 02 - VIDRO
MAOB;05/01/2019;21903169;11686848;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-27-01;PALETES TRAVADO NA SAIDA DA MESA;TRANSPORTE DE PALETES-DPL LATAS;120;LINHA 03 - LATA
MAOB;05/01/2019;21903170;11686849;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-28-02;ESTEIRA EMBORRACHADA FOLGADA;TRANSPORTE EPC I-ROBOBOX I;120;LINHA 01 - LATA
MAOB;05/01/2019;21903173;11686923;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-25;Guia lateral com perfil deslocado;TRANSPORTE RT I/II-ECX;120;LINHA 02 - VIDRO
MAOB;06/01/2019;21903178;11686928;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-03-01;FAlha na transferencia doTQ para Lavador;LAVADORA DE GARRAFAS - K682379;110;LINHA 02 - VIDRO
MAOB;06/01/2019;21903179;11686929;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-27-01;Falha na barreira de luz do magazine.;TRANSPORTE DE PALETES - TBP21 KR57E83;110;LINHA 02 - VIDRO
MAOB;04/01/2019;21903290;11686806;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-36-02;MAL FORMA?O DO ?TIMO CARACTERE;DATADOR - TAXOMATIC 02;120;LINHA 01 - LATA
MAOB;04/01/2019;21903291;11686807;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-36-02;MAL FORMA?O DO ?TIMO CARACTERE;DATADOR - TAXOMATIC 02;120;LINHA 01 - LATA
MAOB;04/01/2019;21903292;11686808;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-36-09;FALHA NA ENTREGA DE ETIQUETAS.;ETIQUETADORA ENVOLVEDORA II - FR18270502;120;LINHA 03 - LATA
MAOB;05/01/2019;21903320;11686897;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-19-01;COLISÏ DO CABE?TE;ENCAIXOTADORA - KR66254;115;LINHA 02 - VIDRO
MAOB;05/01/2019;21903321;11686898;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-19-01;SEPARADOR DE GARRAS SOLTOS.;ENCAIXOTADORA - KR623-331;120;LINHA 04 - VIDRO
MAOB;03/01/2019;21903322;11686899;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-11-01;DESARME DO ACIONAMENTO DO SOPRADOR L3;PASTEURIZADOR - K578-291;110;LINHA 03 - LATA
MAOB;05/01/2019;21903324;11686911;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-05;CAIXA VIRANDO ERRADO;TRANSPORTE ECX-PL;115;LINHA 02 - VIDRO
MAOB;05/01/2019;21903325;11686912;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-03;FALHA DE MODULA?O TRP. ECH -  PZ;TRANSPORTE ECH-PZ;120;LINHA 01 - LATA
MAOB;05/01/2019;21903326;11686913;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01;DANDO ERRO DE CONTAGEM DE CAIXA;PALETIZADORA - KR63754;115;LINHA 02 - VIDRO
MAOB;05/01/2019;21903327;11686914;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-06-03;FALHA NA INSPE?O DE SELOS CHECK 2 L3;CHECKMAT TAXOMATIC II - K731CH7;120;LINHA 03 - LATA
MAOB;04/01/2019;21903328;11686915;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-06-02;EXCESSO DE EXPULS?S DE LATAS SELADAS;CHECKMAT TAXOMATIC I - K731CH6;120;LINHA 03 - LATA
MAOB;05/01/2019;21903342;11686963;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;FALHA NA BARRA DO EMPURRADOR DE CAMADAS:;PALETIZADOR II;115;LINHA 01 - LATA
MAOB;05/01/2019;21903345;11686975;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-01-01;PISTÏ BLOQUEADOR TRAVANDO;DESPALETIZADORA - KR63-G59;120;LINHA 04 - VIDRO
MAOB;06/01/2019;21903346;11686977;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-03-01;VAZAMENTO DE AGUA NA VALVULA DE ENCHIMEN;LAVADORA DE GARRAFAS - K682379;120;LINHA 02 - VIDRO
MAOB;04/01/2019;21903350;11686996;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-27-01;TRANSPORTE DE PALETES DESNIVELADO.;TRANSPORTE DE PALETES;120;LINHA 04 - VIDRO
MAOB;04/01/2019;21903351;11686997;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-19-01;CILINDRO DANIFICADO.;ENCAIXOTADORA - KR623-331;115;LINHA 04 - VIDRO
MAOB;04/01/2019;21903352;11686998;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-27-01;TRAVAVAMENTO NO TRANSPORTE DE PALETES.;TRANSPORTE DE PALETES;115;LINHA 04 - VIDRO
MAOB;05/01/2019;21903360;11686937;ZM01;ENCE CAPC NOLQ SCDM;2015-20-20-02-01-01;RUIDO NA MESA DA DESPAL;DESPALETIZADORA - KR63-G59;120;LINHA 04 - VIDRO
MAOB;04/01/2019;21903362;11687016;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-18-02;Esteira desalinhada;EMPACOTADORA II;120;LINHA 01 - LATA
MAOB;04/01/2019;21903363;11687017;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-36-08;FALHA AO APLICAR A ETIQUETA;ETIQUETADORA ENVOLVEDORA I  - FR18270501;120;LINHA 03 - LATA
MAOB;05/01/2019;21903364;11687018;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-06-01;Montagem do pusher;CHECKMAT ENCHEDORA;120;LINHA 01 - LATA
MAOB;05/01/2019;21903370;11687048;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-41-01-14-01;VAZAMENTO DE AM?IA;SEPARACAO GERACAO DE FRIO 01;120;UTILIDADES
MAOB;05/01/2019;21903372;11687061;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-06;VAZAMENTO DE AR COMPRIMIDO;SISTEMA DE FILTRAGEM - CROSS FLOW;120;PROCESSO
MAOB;05/01/2019;21903388;11687058;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-30-31-01-10-01;mangueira de alimenta? do puf de ?do;DOSAGEM DE PRODUTO TRATAMENTO DE AGUA 1;120;ETA
MAOB;06/01/2019;21903392;11687118;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09;FALHA DE ENCHIMENTO NA VLVULA 163;ENCHIMENTO;115;LINHA 01 - LATA
MAOB;06/01/2019;21903393;11687119;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-21-01-29-01;enrosco de lata na descida do rinser;TRANSPORTE DE DPL LATAS-RINSER;110;LINHA 01 - LATA
MAOB;06/01/2019;21903397;11687143;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-05-01;FALHA NO TRANSPORTE DE ENTRADA;CANTRONIC 01 - CHECKMAT LATAS;120;LINHA 01 - LATA
MAOB;05/01/2019;21903401;11687022;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-01-01;retabelecido base do motor do transporte;DESPALETIZADORA - KR63755;110;LINHA 02 - VIDRO
MAOB;07/01/2019;21903454;11687155;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;FALHA DE PUCHER 5411;PALETIZADOR II;120;LINHA 01 - LATA
MAOB;07/01/2019;21903455;11687156;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-05-01-06-05;VLVULA DA LINHA CIP3 DECLORADOR C/FALHA;FILTRA?O;120;PROCESSO
MAOB;06/01/2019;21903597;11687083;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-01-01-21-01;FALHA NO ACIONAMENTO DO ELEVADOR VC-05;ELEVADORES;110;PROCESSO
MAOB;07/01/2019;21903598;11687086;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-28-01;ROLO DO VIRADOR DE CAIXA DANIFICADO;TRANSPORTE DPL-DCX;110;LINHA 02 - VIDRO
MAOB;01/01/2019;21903599;11687087;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-20-20-01-03-01;VAZAMENTO DE VAPOR PELA JUNTA.;LAVADORA DE GARRAFAS - K682379;120;LINHA 02 - VIDRO
MAOB;02/01/2019;21903600;11687088;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-40-40;DESCARGA DE FUNDO COM VAZAMENTO;GERACAO DE VAPOR;120;UTILIDADES
MAOB;06/01/2019;21903606;11687127;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-02;SETUP 350ml SLEEK: QUANDO CHEGAMOS  A EN;TRANSPORTE RINSER - ECH;115;LINHA 01 - LATA
MAOB;05/01/2019;21903607;11687128;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-01-01;Tombamento de latas no retorno das pin?DESPALETIZADORA LATAS;115;LINHA 01 - LATA;
MAOB;07/01/2019;21903623;11687165;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-00-02-01-06-02;TUBULA?O SAIDA T.FILTRO 2 COM VAZAMENTO;TINA FILTRO 02;120;PROCESSO
MAOB;07/01/2019;21903640;11687139;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-00-04-01-03-03;VALV. COM SEDE VEDA?O DANIF. TQ. FMT03;TANCAGEM MATURA?O 03;120;PROCESSO
MAOB;05/01/2019;21903646;11687198;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-15-01;TRANSPORTE MAGAZINE DE CAIXAS LENTO.;MAGAZINE DE CAIXAS - KR69-120;120;LINHA 04 - VIDRO
MAOB;07/01/2019;21903649;11687214;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-18-01;FALHA NO SISTEMA DE COLA.;EMPACOTADORA - KR96560;120;LINHA 02 - VIDRO
DISM PROG;07/01/2019;21903666;11687176;ZM01;ENCE CONF IMPR CAPC MOME NOLQ;2015-20-21-01-12-03;Rolo tensionadora danificado;SELADORA III;110;LINHA 01 - LATA
MAOB;06/01/2019;21903667;11687177;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-01;Esteira trepidando;PALETIZADOR I;120;LINHA 01 - LATA
MAOB;06/01/2019;21903668;11687178;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-01;Enrosco de latas;TRANSPORTE DE DPL LATAS-RINSER;115;LINHA 01 - LATA
MAOB;07/01/2019;21903674;11687204;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-02;FALHA NA SELADORA II;SELADORA II;120;LINHA 01 - LATA
MAOB;07/01/2019;21903675;11687205;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-24-01;FALHA NO SISTEMA DE CORTE MAG. TAMPAS;MAGAZINE DE TAMPAS - K826-2B2;110;LINHA 03 - LATA
MAOB;07/01/2019;21903678;11687252;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-01-01-02-01;DESARME POR SOBRECORRENTE CM-05;MQUINAS DE LIMPEZA;120;PROCESSO
MAOB;07/01/2019;21903756;11687247;ZM01;ENCE CONF CAPC CAPF NOLQ SCDM;2015-20-21-01-29-02;LATAS ENROSCANDO NO TRANSPORTE 50;TRANSPORTE RINSER - ECH;115;LINHA 01 - LATA
MAOB;07/01/2019;21903757;11687248;ZM01;ENCE CONF CAPC CAPF NOLQ SCDM;2015-20-20-01-27-01;QUEBRA DA CORRENTE TRANSPORTE DE PALETES;TRANSPORTE DE PALETES - TBP21 KR57E83;120;LINHA 02 - VIDRO
MAOB;07/01/2019;21903766;11687261;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-01;ERRO NO VIRADOR DE CAIXA;TRANSPORTE DPL-DCX;120;LINHA 02 - VIDRO
MAOB;07/01/2019;21903767;11687263;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-05-01-03-09;VLVULA RESPONSVEL PELO ENVIO DE CERVEJ;ESTOCAGEM FILTRA?O - BBT 03;115;PROCESSO
MAOB;07/01/2019;21903782;11687225;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-03-01;DESARME NO MOTOR 7101-M101 EXTRATOR 1;LAVADORA DE GARRAFAS - K682379;120;LINHA 02 - VIDRO
MAOB;05/01/2019;21903786;11687324;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-06-05;INSPETOR NÏ EXPULSA GARRAFA COM SUJIDAD;INSPETOR LINATRONIC - K774-A33;120;LINHA 04 - VIDRO
MAOB;07/01/2019;21903800;11687255;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-20-01;FALHA NO SISTEMA DE SEGURAN? PAL I L3;PALETIZADOR I - KR63-G56;120;LINHA 03 - LATA
MAOB;07/01/2019;21903801;11687256;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-11-01;FALTA DE APERTO NOS PARAFUSO DA VALVULA.;PASTEURIZADOR - K574430;115;LINHA 02 - VIDRO
MAOB;07/01/2019;21903802;11687257;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-12-01;FALHA ACIONAMENTO EKA22.2001-T101 ROT 1;ROTULADORA I - K406194;120;LINHA 02 - VIDRO
MAOB;08/01/2019;21903803;11687258;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01;VAZAMENTO DE CONDENSADO.;LAVADORA DE GARRAFAS - K682-521;120;LINHA 04 - VIDRO
MAOB;07/01/2019;21903805;11687333;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-21-01-01-01;TUBO FLEX PORTA CABOS SOLTO.;DESPALETIZADORA LATAS;110;LINHA 01 - LATA
MAOB;03/01/2019;21903812;11687567;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-20-20-02-50-01;FALHA DE COMUNICA?O SWITCH 0601-K421;SALA DE PAIN?S;110;LINHA 04 - VIDRO
MAOB;05/01/2019;21903817;11687597;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-01;SENSOR FOTOELETRICO CONECTOR DANIFICADO;TRANSPORTE DPL-DCX;120;LINHA 04 - VIDRO
MAOB;07/01/2019;21903904;11687533;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-27-02;SOBRECARGA NO TRANSPORTADOR P21-12.;TRANSPORTE DE PALETES;120;LINHA 03 - LATA
MAOB;07/01/2019;21903905;11687534;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-20-02;ERRO NA CONTAGEM DOS PACOTES;PALETIZADOR II - KR63-G57;120;LINHA 03 - LATA
MAOB;07/01/2019;21903906;11687536;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-36-09;IMPRESSÏ DUPLICADA.;ETIQUETADORA ENVOLVEDORA II - FR18270502;120;LINHA 03 - LATA
MAOB;07/01/2019;21903921;11687586;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-36-01;ADITIVO A188 NIVEL BAIXO.;DATADOR - TAXOMATIC 01;110;LINHA 03 - LATA
